Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-25,NVDA,138.12,144.41,137.451,141.53,1154273100,0.0,0.0
2024-11-01,NVDA,142.99,143.13,132.101,135.391,987765800,0.0,0.0
2024-11-08,NVDA,137.201,149.76,135.561,147.62,973098600,0.0,0.0
2024-11-15,NVDA,148.67,149.64,140.07,141.97,1017459800,0.0,0.0
2024-11-22,NVDA,139.49,152.879,137.141,141.94,1396925400,0.0,0.0
2024-11-29,NVDA,141.98,142.04,131.791,138.24,903463700,0.0,0.0
2024-12-06,NVDA,138.82,146.54,137.811,142.44,928447900,0.01,0.0
2024-12-13,NVDA,138.97,141.82,132.54,134.25,974961000,0.0,0.0
2024-12-20,NVDA,134.18,136.7,126.86,134.7,1291053700,0.0,0.0
2024-12-27,NVDA,136.28,141.9,134.71,137.01,567998700,0.0,0.0
2025-01-03,NVDA,134.83,144.9,133.83,144.47,750963600,0.0,0.0
2025-01-10,NVDA,148.59,153.13,134.22,135.91,1052112000,0.0,0.0
2025-01-17,NVDA,129.99,138.75,129.51,137.71,996041100,0.0,0.0
2025-01-24,NVDA,139.16,148.97,137.09,142.62,825973500,0.0,0.0
2025-01-31,NVDA,124.8,129.0,116.25,120.07,2646704500,0.0,0.0
2023-02-03,JNJ,153.335,156.487,152.78,154.859,26832800,0.0,0.0
2023-02-10,JNJ,154.803,155.085,151.529,152.545,35364000,0.0,0.0
2023-02-17,JNJ,151.774,153.316,148.402,151.975,48931400,1.13,0.0
2023-02-24,JNJ,151.273,151.937,147.066,147.786,37318900,0.0,0.0
2023-03-03,JNJ,148.241,148.668,143.295,145.939,37606100,0.0,0.0
2023-03-10,JNJ,146.545,148.052,142.802,143.655,37780100,0.0,0.0
2023-03-17,JNJ,144.11,147.73,143.617,144.385,55124700,0.0,0.0
2023-03-24,JNJ,144.47,146.043,142.234,144.641,38197000,0.0,0.0
2023-03-31,JNJ,146.109,147.047,143.769,146.867,33345300,0.0,0.0
2023-04-07,JNJ,146.82,158.456,145.863,156.485,41476000,0.0,0.0
2023-04-14,JNJ,155.992,157.603,154.542,157.139,29887600,0.0,0.0
2023-04-21,JNJ,157.044,157.518,151.273,154.154,45882900,0.0,0.0
2023-04-28,JNJ,154.154,156.674,153.377,155.111,28823300,0.0,0.0
2023-05-05,JNJ,155.016,157.461,152.789,154.144,28694000,0.0,0.0
2023-05-12,JNJ,153.491,154.04,151.027,152.344,27043800,0.0,0.0
2023-05-19,JNJ,152.363,152.581,149.293,150.572,29241400,0.0,0.0
2023-05-26,JNJ,150.84,151.928,146.753,147.355,30215500,1.19,0.0
2023-06-02,JNJ,146.992,150.181,146.209,149.856,32476200,0.0,0.0
2023-06-09,JNJ,149.646,153.446,149.646,152.758,30091200,0.0,0.0
2023-06-16,JNJ,152.749,157.513,151.536,156.787,39839900,0.0,0.0
2023-06-23,JNJ,156.816,158.735,155.317,157.98,30109900,0.0,0.0
2023-06-30,JNJ,157.503,158.42,154.019,158.019,30814200,0.0,0.0
2023-07-07,JNJ,156.892,156.94,151.985,152.033,24612500,0.0,0.0
2023-07-14,JNJ,152.205,153.035,150.276,152.625,31050000,0.0,0.0
2023-07-21,JNJ,152.51,163.079,150.2,162.477,53311300,0.0,0.0
2023-07-28,JNJ,163.728,167.413,162.057,166.573,69818900,0.0,0.0
2023-08-04,JNJ,162.0,164.854,158.534,161.379,93877700,0.0,0.0
2023-08-11,JNJ,161.809,167.995,161.685,165.971,182207400,0.0,0.0
2023-08-18,JNJ,165.656,167.642,163.546,164.673,359349100,0.0,0.0
2023-08-25,JNJ,162.0,162.152,156.062,159.868,416106900,1.19,0.0
2023-09-01,JNJ,158.666,159.83,153.867,154.319,64548200,0.0,0.0
2023-09-08,JNJ,154.396,155.752,151.31,154.396,35662400,0.0,0.0
2023-09-15,JNJ,154.877,158.926,154.291,155.252,40899900,0.0,0.0
2023-09-22,JNJ,155.896,157.262,154.098,154.339,24680600,0.0,0.0
